iter	Passed	Remaining
787	1697	456
788	1699	454
789	1701	452
790	1703	450
791	1705	447
792	1707	445
793	1710	443
794	1712	441
795	1714	439
796	1716	437
797	1718	435
798	1720	432
799	1722	430
800	1725	428
801	1736	428
802	1738	426
803	1740	424
804	1742	422
805	1744	419
806	1747	417
807	1749	415
808	1751	413
809	1753	411
810	1755	409
811	1758	407
812	1761	405
813	1763	402
814	1765	400
815	1768	398
816	1770	396
817	1772	394
818	1774	392
819	1776	389
820	1778	387
821	1780	385
822	1782	383
823	1784	381
824	1786	379
825	1788	376
826	1790	374
827	1792	372
828	1794	370
829	1796	368
830	1799	365
831	1801	363
832	1803	361
833	1805	359
834	1807	357
835	1809	354
836	1811	352
837	1814	350
838	1816	348
839	1818	346
840	1820	344
841	1822	341
842	1824	339
843	1826	337
844	1828	335
845	1830	333
846	1832	330
847	1834	328
848	1836	326
849	1838	324
850	1840	322
851	1842	320
852	1844	317
853	1846	315
854	1848	313
855	1850	311
856	1852	309
857	1854	306
858	1856	304
859	1858	302
860	1860	300
861	1862	298
862	1864	296
863	1866	293
864	1868	291
865	1870	289
866	1872	287
867	1874	285
868	1876	282
869	1878	280
870	1880	278
871	1882	276
872	1884	274
873	1886	272
874	1888	269
875	1890	267
876	1892	265
877	1894	263
878	1896	261
879	1898	258
880	1900	256
881	1902	254
882	1904	252
883	1906	250
884	1908	248
885	1910	245
886	1913	243
887	1915	241
888	1917	239
889	1919	237
890	1921	235
891	1923	232
892	1925	230
893	1927	228
894	1929	226
895	1931	224
896	1933	222
897	1935	219
898	1937	217
899	1939	215
900	1942	213
901	1944	211
902	1946	209
903	1948	206
904	1950	204
905	1952	202
906	1954	200
907	1956	198
908	1958	196
909	1960	193
910	1962	191
911	1964	189
912	1966	187
913	1968	185
914	1971	183
915	1973	180
916	1975	178
917	1977	176
918	1979	174
919	1981	172
920	1983	170
921	1985	167
922	1987	165
923	1989	163
924	1991	161
925	1993	159
926	1995	157
927	1997	154
928	1999	152
929	2001	150
930	2003	148
931	2005	146
932	2007	144
933	2009	141
934	2011	139
935	2013	137
936	2015	135
937	2017	133
938	2019	131
939	2021	129
940	2023	126
941	2025	124
942	2027	122
943	2030	120
944	2031	118
945	2033	116
946	2036	113
947	2038	111
948	2040	109
949	2042	107
950	2044	105
951	2046	103
952	2048	101
953	2050	98
954	2052	96
955	2054	94
956	2056	92
957	2058	90
958	2060	88
959	2062	85
960	2064	83
961	2066	81
962	2068	79
963	2070	77
964	2072	75
965	2074	73
966	2076	70
967	2078	68
968	2080	66
969	2082	64
970	2084	62
971	2086	60
972	2088	57
973	2090	55
974	2092	53
975	2094	51
976	2096	49
977	2098	47
978	2101	45
979	2103	42
980	2105	40
981	2107	38
982	2108	36
983	2110	34
984	2113	32
985	2115	30
986	2117	27
987	2119	25
988	2121	23
989	2123	21
990	2125	19
991	2127	17
992	2129	15
993	2132	12
994	2134	10
995	2136	8
996	2138	6
997	2140	4
998	2142	2
999	2144	0
